path_id,origin_site_id,dest_site_id,operator,medium,status,confidence,evidence_note,evidence_url
P-001,T2-003,T1-001,McKay Brothers,microwave,active,confirmed,Aurora-Mahwah leg of McKay's Chicago-NJ network (operator latency page),https://mckay-brothers.com/media
P-002,T2-003,T1-002,McKay Brothers / Quincy Data (QED),microwave,active,confirmed,Aurora-Carteret: QED delivers CME data in 3.982ms (operator-published),https://www.prnewswire.com/news-releases/quincy-data-lowers-latency-with-mckay-brothers-upgrades-300942526.html
P-003,T2-003,T1-003,McKay Brothers / Quincy Data (QED),microwave,active,confirmed,Aurora-Secaucus microwave route (launch release),https://www.prnewswire.com/news-releases/quincy-data-announces-launch-of-ultra-low-latency-wireless-service-between-aurora-and-secaucus-161388565.html
P-004,T1-004,T1-002,Webline Holdings (DRW),microwave,active,reported,DRW-affiliated Aurora-NJ microwave route per Bloomberg,https://www.datacenterknowledge.com/business/furious-land-war-erupts-outside-cme-data-center
P-005,T1-011,T1-003,McKay Brothers,microwave,active,confirmed,"350 E Cermak to NY5: 3.885ms one-way (operator media page, 2015)",https://mckay-brothers.com/media
P-006,T1-011,T1-002,McKay Brothers,microwave,active,reported,"Cermak POP clients reach Carteret in 7.82ms round trip (A-Team Insight, 2014)",https://a-teaminsight.com/blog/mckay-brothers-builds-out-low-latency-microwave-connectivity/
P-007,T1-004,T1-011,CME Group (Bulk Transport),fiber,active,reported,CME fiber between Aurora and the old 350 E Cermak matching/colo centre,https://a-teaminsight.com/blog/cmes-aurora-co-lo-quick-facts/?brand=tti
P-008,T1-001,T1-012,McKay Brothers,microwave,active,confirmed,Mahwah-Toronto(TMX) route on McKay's network (operator latency page),https://mckay-brothers.com/media
P-009,T1-004,T1-012,McKay Brothers,microwave,active,confirmed,Aurora-Toronto(TMX) route on McKay's network (operator latency page),https://mckay-brothers.com/media
P-010,T1-013,T1-002,Seaborn Networks (SeaSpeed),fiber,active,confirmed,Low-latency B3-Nasdaq Carteret route on Seabras-1 (operator product page),https://seabornnetworks.com/products/seaspeed/
P-011,T1-013,T1-004,Seaborn Networks + Anova Financial Networks,fiber,active,confirmed,B3-CME route (Seaborn/Anova partnership announcement),https://seabornnetworks.com/seaborn-networks-and-anova-financial-networks-partner-to-deliver-ultra-low-latency-route-between-b3-and-cme/
P-012,T1-014,T1-003,Grupo BMV (Equinix NY5 POP),fiber,active,confirmed,BMV market-data/connectivity POP at Equinix NY (BMV vendors price list),https://www.bmv.com.mx/work/models/Grupo_BMV/Resource/2000/28/images/2024%20Vendors%20Price%20List%20V1.pdf
P-013,T1-020,T1-009,BSO,fiber,active,confirmed,SGX-HKEX low-latency route marketed by BSO (operator page),https://www.bso.co/all-insights/low-latency-hkex-sgx-traders
P-014,T1-021,T1-022,Cboe Australia (Cboe Connect) / Nexthop dark fibre,fiber,active,confirmed,ALC-SY5 connectivity per Cboe CXA connectivity manual,https://cdn.cboe.com/resources/membership/CXA_Connectivity_Manual.pdf
P-015,T1-005,T1-003,LSEG (Refinitiv) Spot & Forwards Matching,fiber,active,confirmed,LD4 primary / NY4 venue pair per LSEG FX colo connectivity guide,https://thesource.lseg.com/TheSource/getfile/download/840e069d-969a-4b99-b663-1a67046ab6ed
P-016,T1-003,T1-005,CME Group (EBS Market on Globex),fiber,active,confirmed,"EBS NY engines primary in NY5, DR in Slough LD4.2 (CME client wiki)",https://cmegroupclientsite.atlassian.net/wiki/display/EPICSANDBOX/EBS+Market+on+CME+Globex+Market+Functionality
P-017,T1-026,T1-003,CME Group (Globex Hub Tokyo),fiber,active,confirmed,TY3 Globex hub to NY (CME client wiki),https://cmegroupclientsite.atlassian.net/wiki/display/EPICSANDBOX/CME+Globex+Hub+-+Tokyo
P-018,T1-027,T1-005,LSEG NDF Matching,fiber,active,confirmed,SG3 NDF Matching primary; LD4 in the venue mesh (LSEG connectivity guide),https://thesource.lseg.com/TheSource/getfile/download/840e069d-969a-4b99-b663-1a67046ab6ed
P-019,T1-005,T1-028,Avelacom (MOEX international PoP program),fiber,historical,confirmed,London-Moscow low-latency route for MOEX access (MOEX announcement); historical post-2022,https://www.moex.com/n23779
P-020,T1-001,T1-002,Anova Financial Networks,laser,active,confirmed,Mahwah-Carteret free-space-optics link (trade press on Anova activation),https://www.fibre-systems.com/news/free-space-optics-speed-stock-exchange
P-021,T1-002,T1-003,Anova Financial Networks,laser,active,reported,Carteret-Secaucus laser link (A-Team Insight),https://a-teaminsight.com/blog/anova-goes-live-with-low-latency-laser-link-between-nasdaq-and-nyse/
P-022,T1-001,T1-003,Anova Financial Networks,laser,active,confirmed,Mahwah-Secaucus wireless link (Anova press release),https://www.prnewswire.com/news-releases/anova-financial-networks-activates-wireless-connectivity-between-mahwah-and-secaucus-301209914.html
P-023,T2-008,T2-002,Jump Trading,microwave,active,reported,Swingate-Houtem Channel crossing (Sniper in Mahwah II),https://sniperinmahwah.wordpress.com/2014/09/25/hft-in-my-backyard-ii/
P-024,T2-009,T2-008,multiple HFT operators,microwave,active,reported,Dunkerque(Reuze)-Swingate crossing used by most Channel competitors (Laumonier),https://sniperinmahwah.wordpress.com/2014/09/25/hft-in-my-backyard-ii/
P-025,T1-005,T1-006,McKay Brothers International,microwave,active,confirmed,Slough-Frankfurt microwave route launch (operator release),https://www.prnewswire.com/news-releases/mckay-brothers-launches-route-between-slough-frankfurt-289533021.html
P-026,T2-002,T2-012,Jump Trading,microwave,active,reported,Houtem-Ramsgate crossing (Sniper in Mahwah I),https://sniperinmahwah.wordpress.com/2014/09/22/hft-in-my-backyard-part-i/
P-027,T2-015,T2-016,Jump Trading,microwave,active,reported,Wavre-Hannut hop on Jump's Belgian chain (dish azimuths documented),https://sniperinmahwah.wordpress.com/2014/09/25/hft-in-my-backyard-ii/
P-028,T2-009,T2-012,McKay Brothers; Optiver,microwave,active,reported,Dunkerque-Ramsgate crossing (Visionscarto/Laumonier),https://www.visionscarto.net/hft-in-the-jungle
P-029,T2-011,T2-001,Vigilant Global (DRW),microwave,historical,reported,Proposed Oostduinkerke-Richborough direct crossing; UK mast refused 2017,https://sniperinmahwah.wordpress.com/2016/01/26/hft-in-the-banana-land/
P-030,T2-004,T1-004,Toggle Communications (IMC),microwave,active,reported,West Chicago site's dish aimed at CME Aurora (Van Valzah/Bloomberg),https://sniperinmahwah.wordpress.com/2018/05/07/shortwave-trading-part-i-the-west-chicago-tower-mystery/
P-031,T2-020,T1-004,County Information Services LLC,microwave,active,inferred,Wanatah site backhaul toward Aurora (inferred from Van Valzah fieldwork),https://sniperinmahwah.wordpress.com/2018/06/07/shortwave-trading-part-ii-faq-and-other-chicago-area-sites/
P-032,T2-019,T1-004,undisclosed FCC experimental licensee,microwave,active,reported,Maple Park silo dish pointed at CME Aurora (Van Valzah part III),https://sniperinmahwah.wordpress.com/2018/07/13/shortwave-trading-part-iii-fourth-chicago-site-east-coast-sites-europe-and-questions/
P-033,T1-004,T1-006,Raft Technologies,shortwave,active,confirmed,"Chicago-Frankfurt HF service route (operator page; endpoints are served venues, not antenna sites)",https://raft-tech.com/hf_shortwave-adoption/
P-034,T1-004,T1-005,Raft Technologies,shortwave,active,confirmed,"Chicago-London HF service route (operator page; endpoints are served venues, not antenna sites)",https://raft-tech.com/hf_shortwave-adoption/
P-035,T1-004,T1-010,Raft Technologies,shortwave,active,confirmed,"Chicago-Tokyo HF service route (operator page; endpoints are served venues, not antenna sites)",https://raft-tech.com/hf_shortwave-adoption/
P-036,T2-024,T2-025,EXA Infrastructure (ex Hibernia/GTT),fiber,active,reported,"Hibernia Express (EXA Express): 4,600km latency-optimized transatlantic cable",https://www.submarinecablemap.com/api/v3/cable/exa-express.json
P-037,T1-003,T2-024,EXA Infrastructure (ex Hibernia/GTT),fiber,active,reported,NY-side backhaul: cable marketed as NY4 Secaucus-LD4 Slough sub-59ms RTD,https://www.lightwaveonline.com/network-design/high-speed-networks/article/16651312/hibernia-express-transatlantic-cable-ready-for-service
P-038,T2-025,T1-005,EXA Infrastructure (ex Hibernia/GTT),fiber,active,reported,UK-side backhaul from Brean to Slough LD4 (sub-59ms NY4-LD4 marketed RTD),https://www.lightwaveonline.com/network-design/high-speed-networks/article/16651312/hibernia-express-transatlantic-cable-ready-for-service
P-039,T1-010,T1-030,JPX (arrownet),fiber,active,confirmed,Exchange-operated WDM fiber ring linking the Tokyo primary centre with the Kansai backup/proximity site,https://www.jpx.co.jp/systems/network/index.html
